Awardee, Institute, Primary
University of North Carolina at Chapel Hill, Engage AI, False
University of North Carolina at Greensboro, AI-ALOE, False
University of San Diego, AI4OPT, False
University of Texas Arlington, AI4OPT, False
University of Texas at El Paso, AI4ExceptionalEd, False
University of Utah, ICICLE, False
Wenatchee Valley College, AgAID, False
Wichita State University, IFML, False
Wiley, AI-ALOE, False
Worcester Polytechnic Institute, iSAT, False
Wright State University, INVITE, False
